# This is the run log of LabScaleImpacts
# Experiment type: HOLSAPPLE1 (1)
# Time step used = 0.0002
# Top of regolith surface = 0.136654
# Impactor launch speed = 3.7
# Columns are (values in code units, d is penetration depth):
# [t]    [v_y]    [d]    [x]    [y]    [z]

0.037600    -0.133445    -0.028182    -0.002930    +0.122772    -0.000225
0.037800    -0.132623    -0.028208    -0.002927    +0.122746    -0.000216
0.038000    -0.132098    -0.028235    -0.002923    +0.122719    -0.000208
0.038200    -0.131586    -0.028261    -0.002919    +0.122693    -0.000200
0.038400    -0.130988    -0.028287    -0.002915    +0.122667    -0.000192
0.038600    -0.130313    -0.028313    -0.002910    +0.122641    -0.000184
0.038800    -0.129441    -0.028339    -0.002906    +0.122615    -0.000176
0.039000    -0.128818    -0.028365    -0.002901    +0.122589    -0.000169
0.039200    -0.128430    -0.028391    -0.002897    +0.122563    -0.000161
0.039400    -0.127626    -0.028416    -0.002892    +0.122538    -0.000154
0.039600    -0.126183    -0.028441    -0.002887    +0.122513    -0.000146
0.039800    -0.123924    -0.028466    -0.002882    +0.122488    -0.000139
0.040000    -0.121754    -0.028491    -0.002876    +0.122463    -0.000132
0.040200    -0.119660    -0.028515    -0.002870    +0.122439    -0.000125
0.040400    -0.117549    -0.028538    -0.002863    +0.122416    -0.000117
0.040600    -0.115288    -0.028561    -0.002857    +0.122393    -0.000110
0.040800    -0.113188    -0.028584    -0.002849    +0.122370    -0.000103
0.041000    -0.111412    -0.028606    -0.002842    +0.122348    -0.000096
0.041200    -0.109626    -0.028628    -0.002834    +0.122326    -0.000090
0.041400    -0.108094    -0.028650    -0.002826    +0.122304    -0.000083
0.041600    -0.106876    -0.028671    -0.002818    +0.122283    -0.000076
0.041800    -0.105950    -0.028692    -0.002809    +0.122262    -0.000069
0.042000    -0.105253    -0.028713    -0.002800    +0.122241    -0.000062
0.042200    -0.104672    -0.028734    -0.002791    +0.122220    -0.000056
0.042400    -0.104388    -0.028755    -0.002782    +0.122199    -0.000049
0.042600    -0.104459    -0.028776    -0.002773    +0.122178    -0.000042
0.042800    -0.104678    -0.028797    -0.002763    +0.122157    -0.000036
0.043000    -0.104850    -0.028818    -0.002754    +0.122136    -0.000029
0.043200    -0.105232    -0.028839    -0.002745    +0.122115    -0.000023
0.043400    -0.105496    -0.028860    -0.002735    +0.122094    -0.000016
0.043600    -0.105888    -0.028881    -0.002725    +0.122073    -0.000010
0.043800    -0.106342    -0.028902    -0.002716    +0.122052    -0.000004
0.044000    -0.106691    -0.028924    -0.002706    +0.122030    +0.000002
0.044200    -0.107091    -0.028945    -0.002696    +0.122009    +0.000008
0.044400    -0.107295    -0.028966    -0.002686    +0.121988    +0.000014
0.044600    -0.107618    -0.028988    -0.002676    +0.121966    +0.000020
0.044800    -0.107932    -0.029010    -0.002666    +0.121944    +0.000025
0.045000    -0.108114    -0.029031    -0.002656    +0.121923    +0.000031
0.045200    -0.108231    -0.029053    -0.002645    +0.121901    +0.000037
0.045400    -0.108294    -0.029075    -0.002635    +0.121879    +0.000042
0.045600    -0.108267    -0.029096    -0.002625    +0.121858    +0.000048
0.045800    -0.108280    -0.029118    -0.002614    +0.121836    +0.000053
0.046000    -0.108100    -0.029140    -0.002604    +0.121815    +0.000058
0.046200    -0.107366    -0.029161    -0.002593    +0.121793    +0.000064
0.046400    -0.106388    -0.029182    -0.002583    +0.121772    +0.000068
0.046600    -0.105741    -0.029203    -0.002572    +0.121751    +0.000073
0.046800    -0.105399    -0.029224    -0.002561    +0.121730    +0.000078
0.047000    -0.105141    -0.029246    -0.002550    +0.121708    +0.000082
0.047200    -0.104880    -0.029266    -0.002539    +0.121688    +0.000086
0.047400    -0.104383    -0.029287    -0.002528    +0.121667    +0.000090
0.047600    -0.103985    -0.029308    -0.002517    +0.121646    +0.000094
0.047800    -0.103549    -0.029329    -0.002506    +0.121625    +0.000098
0.048000    -0.103107    -0.029350    -0.002495    +0.121604    +0.000101
