# This is the run log of SGP from Fri Jan 15 20:00:32 2016
# Experiment type: TEST_SCALING (3)
# Active force: point mass gravity
# Actors: two spheres with r = 100000 (cu) and rho = 1000 (cu)
# Measured quantities: COM separation, COM relative velocity
# Time step used = 100 (cu)
# Code units: 1 cu = [10000 m | 1e+012 kg | 10000 s]
# Scaled G = 6.674e-011 (cu)
# Columns are (values in code units):
# [t]    [R]    [V]

18800.000000    635184.875000    -18.941183
18900.000000    633277.000000    -19.078941
19000.000000    631355.250000    -19.217522
19100.000000    629419.562500    -19.356939
19200.000000    627469.812500    -19.497208
19300.000000    625506.000000    -19.638340
19400.000000    623527.937500    -19.780350
19500.000000    621535.625000    -19.923252
19600.000000    619528.937500    -20.067064
19700.000000    617507.750000    -20.211800
19800.000000    615472.000000    -20.357473
19900.000000    613421.562500    -20.504103
20000.000000    611356.375000    -20.651703
20100.000000    609276.375000    -20.800291
20200.000000    607181.375000    -20.949886
20300.000000    605071.312500    -21.100504
20400.000000    602946.125000    -21.252163
20500.000000    600805.625000    -21.404881
20600.000000    598649.750000    -21.558678
20700.000000    596478.375000    -21.713572
20800.000000    594291.437500    -21.869583
20900.000000    592088.750000    -22.026733
21000.000000    589870.250000    -22.185043
21100.000000    587635.812500    -22.344532
21200.000000    585385.312500    -22.505222
21300.000000    583118.625000    -22.667137
21400.000000    580835.625000    -22.830299
21500.000000    578536.125000    -22.994734
21600.000000    576220.062500    -23.160463
21700.000000    573887.312500    -23.327513
21800.000000    571537.750000    -23.495907
21900.000000    569171.187500    -23.665672
22000.000000    566787.500000    -23.836838
22100.000000    564386.562500    -24.009430
22200.000000    561968.187500    -24.183475
22300.000000    559532.312500    -24.359005
22400.000000    557078.687500    -24.536049
22500.000000    554607.250000    -24.714638
22600.000000    552117.750000    -24.894804
22700.000000    549610.062500    -25.076578
22800.000000    547084.062500    -25.259996
22900.000000    544539.562500    -25.445091
23000.000000    541976.375000    -25.631899
23100.000000    539394.312500    -25.820457
23200.000000    536793.250000    -26.010803
23300.000000    534172.937500    -26.202976
23400.000000    531533.250000    -26.397017
23500.000000    528873.937500    -26.592964
23600.000000    526194.875000    -26.790863
23700.000000    523495.812500    -26.990757
23800.000000    520776.531250    -27.192692
23900.000000    518036.875000    -27.396715
24000.000000    515276.593750    -27.602875
24100.000000    512495.468750    -27.811220
24200.000000    509693.281250    -28.021803
24300.000000    506869.812500    -28.234678
24400.000000    504024.812500    -28.449900
24500.000000    501158.062500    -28.667526
24600.000000    498269.312500    -28.887617
24700.000000    495358.281250    -29.110233
24800.000000    492424.750000    -29.335438
24900.000000    489468.406250    -29.563297
25000.000000    486489.031250    -29.793879
25100.000000    483486.312500    -30.027254
25200.000000    480459.968750    -30.263496
25300.000000    477409.687500    -30.502684
25400.000000    474335.187500    -30.744892
25500.000000    471236.156250    -30.990206
25600.000000    468112.281250    -31.238710
25700.000000    464963.218750    -31.490494
25800.000000    461788.656250    -31.745649
25900.000000    458588.218750    -32.004272
26000.000000    455361.562500    -32.266464
26100.000000    452108.343750    -32.532330
26200.000000    448828.156250    -32.801975
26300.000000    445520.593750    -33.075516
26400.000000    442185.281250    -33.353069
26500.000000    438821.812500    -33.634758
26600.000000    435429.750000    -33.920712
26700.000000    432008.656250    -34.211067
26800.000000    428558.062500    -34.505962
26900.000000    425077.500000    -34.805546
27000.000000    421566.500000    -35.109974
27100.000000    418024.562500    -35.419407
27200.000000    414451.156250    -35.734016
27300.000000    410845.750000    -36.053982
27400.000000    407207.812500    -36.379486
27500.000000    403536.750000    -36.710728
27600.000000    399831.968750    -37.047916
27700.000000    396092.843750    -37.391266
27800.000000    392318.750000    -37.741009
27900.000000    388509.000000    -38.097385
28000.000000    384662.937500    -38.460651
28100.000000    380779.843750    -38.831078
28200.000000    376858.937500    -39.208950
28300.000000    372899.468750    -39.594566
28400.000000    368900.656250    -39.988251
28500.000000    364861.625000    -40.390339
28600.000000    360781.500000    -40.801193
28700.000000    356659.375000    -41.221191
28800.000000    352494.312500    -41.650745
28900.000000    348285.281250    -42.090286
29000.000000    344031.250000    -42.540276
29100.000000    339731.125000    -43.001205
29200.000000    335383.750000    -43.473606
29300.000000    330987.937500    -43.958038
29400.000000    326542.437500    -44.455112
29500.000000    322045.875000    -44.965477
29600.000000    317496.906250    -45.489834
29700.000000    312894.000000    -46.028934
29800.000000    308235.625000    -46.583591
29900.000000    303520.156250    -47.154690
30000.000000    298745.843750    -47.743179
30100.000000    293910.843750    -48.350098
30200.000000    289013.187500    -48.976570
30300.000000    284050.812500    -49.623821
30400.000000    279021.500000    -50.293198
30500.000000    273922.875000    -50.986164
30600.000000    268752.437500    -51.704338
30700.000000    263507.500000    -52.449497
30800.000000    258185.140625    -53.223602
30900.000000    252782.250000    -54.028831
31000.000000    247295.484375    -54.867599
31100.000000    241721.218750    -55.742607
31200.000000    236055.531250    -56.656872
31300.000000    230294.156250    -57.613792
31400.000000    224432.437500    -58.617199
31500.000000    218465.296875    -59.671436
31600.000000    212387.156250    -60.781464
