# This is the run log of Verify
# Experiment type: SPRINGER (6)
# Time step used = 0.004
# Columns are (values in code units):
# [t]    [x]    [v]

1.619993    -0.493351    -10.022125
1.623993    -0.533432    -10.020312
1.627993    -0.573505    -10.018339
1.631993    -0.613570    -10.016206
1.635993    -0.653626    -10.013912
1.639993    -0.693672    -10.011457
1.643993    -0.733707    -10.008842
1.647993    -0.773731    -10.006068
1.651993    -0.813744    -10.003134
1.655993    -0.853744    -10.000039
1.659993    -0.893731    -9.996784
1.663993    -0.933705    -9.993369
1.667993    -0.973664    -9.989794
1.671993    -1.013608    -9.986059
1.675993    -1.053537    -9.982164
1.679993    -1.093449    -9.978110
1.683993    -1.133345    -9.973896
1.687992    -1.173223    -9.969522
1.691992    -1.213083    -9.964989
1.695992    -1.252924    -9.960296
1.699992    -1.292746    -9.955443
1.703992    -1.332548    -9.950432
1.707992    -1.372329    -9.945261
1.711992    -1.412089    -9.939931
1.715992    -1.451826    -9.934442
1.719992    -1.491542    -9.928793
1.723992    -1.531233    -9.922986
1.727992    -1.570902    -9.917020
1.731992    -1.610545    -9.910895
1.735992    -1.650164    -9.904612
1.739992    -1.689756    -9.898170
1.743992    -1.729322    -9.891569
1.747992    -1.768862    -9.884810
1.751992    -1.808373    -9.877893
1.755992    -1.847857    -9.870818
1.759992    -1.887311    -9.863585
1.763991    -1.926736    -9.856194
1.767991    -1.966130    -9.848644
1.771991    -2.005494    -9.840938
1.775991    -2.044827    -9.833073
1.779991    -2.084127    -9.825050
1.783991    -2.123394    -9.816871
1.787991    -2.162628    -9.808535
1.791991    -2.201828    -9.800041
1.795991    -2.240994    -9.791390
1.799991    -2.280124    -9.782583
1.803991    -2.319219    -9.773620
1.807991    -2.358277    -9.764499
1.811991    -2.397298    -9.755221
1.815991    -2.436281    -9.745789
1.819991    -2.475225    -9.736199
1.823991    -2.514131    -9.726454
1.827991    -2.552998    -9.716553
1.831991    -2.591824    -9.706496
1.835991    -2.630609    -9.696284
1.839990    -2.669353    -9.685917
1.843990    -2.708054    -9.675394
1.847990    -2.746713    -9.664717
1.851990    -2.785328    -9.653885
1.855990    -2.823900    -9.642898
1.859990    -2.862427    -9.631756
1.863990    -2.900909    -9.620461
1.867990    -2.939345    -9.609011
1.871990    -2.977735    -9.597407
1.875990    -3.016077    -9.585649
1.879990    -3.054372    -9.573738
1.883990    -3.092619    -9.561674
1.887990    -3.130817    -9.549457
1.891990    -3.168965    -9.537086
1.895990    -3.207063    -9.524563
1.899990    -3.245111    -9.511887
1.903990    -3.283107    -9.499059
1.907990    -3.321052    -9.486078
1.911990    -3.358943    -9.472946
1.915990    -3.396782    -9.459661
1.919989    -3.434567    -9.446226
1.923989    -3.472297    -9.432639
1.927989    -3.509973    -9.418900
1.931989    -3.547593    -9.405011
1.935989    -3.585157    -9.390971
1.939989    -3.622664    -9.376781
1.943989    -3.660114    -9.362440
1.947989    -3.697506    -9.347949
1.951989    -3.734839    -9.333308
1.955989    -3.772113    -9.318519
1.959989    -3.809327    -9.303579
1.963989    -3.846481    -9.288491
1.967989    -3.883574    -9.273254
1.971989    -3.920606    -9.257869
1.975989    -3.957575    -9.242334
1.979989    -3.994482    -9.226652
1.983989    -4.031325    -9.210822
1.987989    -4.068104    -9.194844
1.991989    -4.104819    -9.178719
1.995988    -4.141469    -9.162446
1.999988    -4.178053    -9.146027
2.003989    -4.214571    -9.129460
2.007988    -4.251021    -9.112748
2.011988    -4.287405    -9.095890
2.015988    -4.323720    -9.078886
2.019988    -4.359967    -9.061736
2.023988    -4.396145    -9.044441
2.027988    -4.432253    -9.027001
2.031988    -4.468290    -9.009417
2.035988    -4.504257    -8.991688
2.039988    -4.540153    -8.973815
2.043988    -4.575976    -8.955798
2.047988    -4.611726    -8.937637
2.051988    -4.647404    -8.919333
2.055988    -4.683007    -8.900887
2.059988    -4.718536    -8.882297
2.063988    -4.753991    -8.863564
2.067988    -4.789370    -8.844690
2.071988    -4.824672    -8.825674
2.075988    -4.859898    -8.806517
2.079988    -4.895047    -8.787218
2.083987    -4.930118    -8.767778
2.087987    -4.965111    -8.748199
2.091987    -5.000025    -8.728478
2.095987    -5.034859    -8.708618
2.099987    -5.069613    -8.688618
2.103987    -5.104287    -8.668478
2.107987    -5.138880    -8.648199
2.111987    -5.173391    -8.627782
2.115987    -5.207820    -8.607226
2.119987    -5.242166    -8.586533
2.123987    -5.276429    -8.565701
2.127987    -5.310607    -8.544733
2.131987    -5.344702    -8.523627
2.135987    -5.378711    -8.502385
2.139987    -5.412635    -8.481007
2.143987    -5.446473    -8.459492
2.147987    -5.480225    -8.437841
2.151987    -5.513889    -8.416056
2.155987    -5.547465    -8.394135
2.159986    -5.580954    -8.372079
2.163986    -5.614353    -8.349889
2.167986    -5.647664    -8.327565
2.171986    -5.680884    -8.305108
2.175986    -5.714014    -8.282517
2.179986    -5.747053    -8.259794
2.183986    -5.780001    -8.236938
2.187986    -5.812857    -8.213950
2.191986    -5.845620    -8.190830
2.195986    -5.878291    -8.167579
2.199986    -5.910867    -8.144197
2.203986    -5.943350    -8.120684
2.207986    -5.975738    -8.097040
2.211986    -6.008031    -8.073267
2.215986    -6.040228    -8.049364
2.219986    -6.072330    -8.025331
2.223986    -6.104334    -8.001170
2.227986    -6.136242    -7.976881
2.231986    -6.168052    -7.952464
2.235986    -6.199763    -7.927918
2.239985    -6.231376    -7.903246
2.243985    -6.262890    -7.878448
2.247985    -6.294304    -7.853522
2.251985    -6.325618    -7.828470
2.255985    -6.356831    -7.803293
2.259985    -6.387943    -7.777991
2.263985    -6.418953    -7.752563
2.267985    -6.449862    -7.727012
2.271985    -6.480667    -7.701336
2.275985    -6.511369    -7.675537
2.279985    -6.541967    -7.649614
2.283985    -6.572462    -7.623569
2.287985    -6.602851    -7.597401
2.291985    -6.633136    -7.571111
2.295985    -6.663315    -7.544699
2.299985    -6.693388    -7.518167
2.303985    -6.723353    -7.491513
2.307985    -6.753212    -7.464740
2.311985    -6.782964    -7.437846
2.315984    -6.812607    -7.410833
2.319984    -6.842142    -7.383701
2.323984    -6.871568    -7.356451
2.327984    -6.900884    -7.329082
2.331984    -6.930090    -7.301596
2.335984    -6.959187    -7.273993
2.339984    -6.988172    -7.246272
2.343984    -7.017045    -7.218435
2.347984    -7.045807    -7.190483
2.351984    -7.074457    -7.162415
2.355984    -7.102994    -7.134231
2.359984    -7.131418    -7.105933
2.363984    -7.159728    -7.077521
2.367984    -7.187924    -7.048995
2.371984    -7.216005    -7.020357
2.375984    -7.243972    -6.991605
2.379984    -7.271823    -6.962741
2.383984    -7.299558    -6.933765
2.387984    -7.327177    -6.904678
2.391984    -7.354679    -6.875480
2.395983    -7.382064    -6.846171
2.399983    -7.409331    -6.816752
2.403983    -7.436480    -6.787224
2.407983    -7.463510    -6.757586
2.411983    -7.490421    -6.727840
2.415983    -7.517213    -6.697987
2.419983    -7.543885    -6.668025
2.423983    -7.570437    -6.637956
2.427983    -7.596868    -6.607780
2.431983    -7.623178    -6.577499
2.435983    -7.649366    -6.547112
2.439983    -7.675433    -6.516619
2.443983    -7.701377    -6.486021
2.447983    -7.727198    -6.455319
2.451983    -7.752896    -6.424514
2.455983    -7.778471    -6.393605
2.459983    -7.803921    -6.362594
2.463983    -7.829247    -6.331480
2.467983    -7.854447    -6.300264
2.471982    -7.879523    -6.268947
2.475982    -7.904473    -6.237529
2.479982    -7.929297    -6.206011
2.483982    -7.953995    -6.174393
2.487982    -7.978566    -6.142676
2.491982    -8.003010    -6.110860
2.495982    -8.027326    -6.078946
2.499982    -8.051514    -6.046934
2.503982    -8.075573    -6.014824
2.507982    -8.099504    -5.982618
2.511982    -8.123304    -5.950316
2.515982    -8.146976    -5.917918
2.519982    -8.170518    -5.885425
2.523982    -8.193930    -5.852837
2.527982    -8.217211    -5.820155
2.531982    -8.240360    -5.787379
2.535982    -8.263378    -5.754510
2.539982    -8.286264    -5.721549
2.543982    -8.309018    -5.688495
2.547982    -8.331639    -5.655350
2.551981    -8.354128    -5.622114
2.555981    -8.376483    -5.588788
2.559981    -8.398705    -5.555371
2.563981    -8.420792    -5.521865
2.567981    -8.442744    -5.488270
2.571981    -8.464562    -5.454587
2.575981    -8.486246    -5.420816
2.579981    -8.507794    -5.386958
2.583981    -8.529206    -5.353013
2.587981    -8.550482    -5.318981
2.591981    -8.571621    -5.284864
2.595981    -8.592624    -5.250662
2.599981    -8.613489    -5.216376
2.603981    -8.634217    -5.182005
2.607981    -8.654807    -5.147552
2.611981    -8.675260    -5.113015
2.615981    -8.695573    -5.078395
2.619981    -8.715748    -5.043694
2.623981    -8.735784    -5.008912
2.627980    -8.755680    -4.974049
2.631980    -8.775436    -4.939106
2.635980    -8.795053    -4.904083
2.639980    -8.814528    -4.868981
2.643980    -8.833863    -4.833801
2.647980    -8.853058    -4.798543
2.651980    -8.872110    -4.763207
2.655980    -8.891022    -4.727795
2.659980    -8.909791    -4.692307
2.663980    -8.928418    -4.656743
2.667980    -8.946902    -4.621103
2.671980    -8.965244    -4.585390
2.675980    -8.983442    -4.549602
2.679980    -9.001497    -4.513741
2.683980    -9.019408    -4.477807
2.687980    -9.037175    -4.441801
2.691980    -9.054798    -4.405724
2.695980    -9.072276    -4.369575
2.699980    -9.089609    -4.333356
2.703979    -9.106797    -4.297067
2.707979    -9.123840    -4.260708
2.711979    -9.140738    -4.224281
2.715979    -9.157489    -4.187786
2.719979    -9.174093    -4.151223
2.723979    -9.190552    -4.114593
2.727979    -9.206863    -4.077897
2.731979    -9.223028    -4.041134
2.735979    -9.239045    -4.004307
2.739979    -9.254915    -3.967415
2.743979    -9.270638    -3.930459
2.747979    -9.286211    -3.893439
2.751979    -9.301637    -3.856356
2.755979    -9.316914    -3.819211
2.759979    -9.332042    -3.782005
2.763979    -9.347021    -3.744737
2.767979    -9.361851    -3.707409
2.771979    -9.376531    -3.670021
2.775979    -9.391061    -3.632573
2.779979    -9.405441    -3.595067
2.783978    -9.419671    -3.557503
2.787978    -9.433750    -3.519881
2.791978    -9.447679    -3.482202
2.795978    -9.461456    -3.444467
2.799978    -9.475083    -3.406677
2.803978    -9.488559    -3.368831
2.807978    -9.501883    -3.330930
2.811978    -9.515055    -3.292976
2.815978    -9.528074    -3.254968
2.819978    -9.540942    -3.216908
2.823978    -9.553658    -3.178796
2.827978    -9.566220    -3.140632
2.831978    -9.578629    -3.102417
2.835978    -9.590886    -3.064152
2.839978    -9.602989    -3.025838
2.843978    -9.614939    -2.987474
2.847978    -9.626735    -2.949063
2.851978    -9.638377    -2.910603
2.855978    -9.649865    -2.872096
2.859977    -9.661200    -2.833542
2.863977    -9.672379    -2.794943
2.867977    -9.683405    -2.756298
2.871977    -9.694275    -2.717608
